Company,Inches,RAM,Memory,OpSys,Weights,Price,X_res,Y_res,Gaming,Touchscreen,ppi,Cpu Brand,Gpu brand
Dell,15.6,16,512,Windows,3.71,963.9260148,1920,1080,0,0,141.2119981,AMD Processor,AMD
Lenovo,13.3,16,256,Windows,2.16,909.99,1920,1080,0,0,165.6321181,Intel Core i7,Intel 
MSI,15.6,4,1024,Windows,4.63,1249,1920,1080,1,0,141.2119981,Intel Core i7,NVIDIA
Lenovo,13.3,16,256,Windows,4.45,1077.86,1920,1200,0,1,170.2372535,Intel Core i7,Intel 
EXCaliberPC,15.6,8,1024,Windows,4.41,999,1920,1080,1,0,141.2119981,Intel Core i7,NVIDIA
Lenovo,13.3,16,4096,Windows,7,1699,2560,1600,0,0,226.9830047,Intel Core i7,Intel 
Dell,15.6,32,1024,Windows,10,963.9260148,2560,1600,1,0,193.5175617,Intel Core i7,NVIDIA
ROKC,14,12,512,Windows,3.31,469.99,1920,1080,0,0,157.3505121,Intel Core i3,Intel 
MSI,15.6,16,512,Windows,4.96,1252.84,1920,1080,1,0,141.2119981,Intel Core i7,NVIDIA
ASUS,14,4,128,Chrome OS,5.16,249.99,1920,1080,0,0,157.3505121,Celeron Processor,Intel 
Acer,14,8,128,Chrome OS,3.42,399.99,1366,768,0,0,111.9352036,Pentium Processor,Intel 
Luqeeg,16,12,512,Others/Linux/Mac OS,4.37,332,1920,1080,1,0,137.6816981,Intel Core i7,Intel 
ASUS,15.6,16,1024,Windows,5.67,2079.2,1920,1080,1,0,141.2119981,Intel Core i7,NVIDIA
ASUS,14,16,1024,Windows,5.5,1099.99,2560,1600,0,0,215.6338544,Intel Core i7,Intel 
Lenovo,15.6,32,1024,Windows,3.76,1746.12,1920,1080,0,0,141.2119981,Intel Core i7,NVIDIA
Toshiba,15.6,64,2048,Windows,3.75,2141,1920,1080,0,0,141.2119981,Intel Core i7,NVIDIA
Acer,15.6,16,1024,Windows,4.41,1839,2560,1440,1,0,188.2826641,Intel Core i7,NVIDIA
HP,15.6,16,1024,Windows,3.72,750,1920,1080,0,0,141.2119981,AMD Processor,AMD
Lenovo,15.6,32,1024,Windows,3.51,963.9260148,1920,1080,0,1,141.2119981,Intel Core i7,Intel 
Acer,15.6,8,256,Windows,0.01,449,1920,1080,0,0,141.2119981,AMD Processor,AMD
ASUS,14,8,256,Windows,5,549,1920,1080,0,0,157.3505121,Intel Core i5,Intel 
SAMSUNG,15.6,16,1024,Windows,5.77,1379,1920,1080,0,0,141.2119981,Intel Core i7,Intel 
HP,15.6,32,1024,Windows,7,963.9260148,1920,1080,0,1,141.2119981,Intel Core i7,Intel 
