Company,Inches,RAM,Memory,OpSys,Weights,Price,X_res,Y_res,ppi,Gaming,Touchscreen,Cpu Brand,Gpu brand
HP,15.6,16,1000,Windows,3.93,879.99,1920.0,1080.0,141.21199808219862,0,0,Intel Core i7,Intel 
Dell,14.0,12,512,Windows,3.42,699.99,1920.0,1080.0,157.3505121487356,0,1,Intel Core i7,Intel 
HP,14.0,4,128,Chrome OS,4.44,159.99,1366.0,768.0,111.93520355955211,0,0,Pentium Processor,Intel 
Acer,14.0,8,512,Windows,4.7,682.91,1920.0,1080.0,157.3505121487356,0,0,Intel Core i5,Intel 
Ist computers,14.0,32,1024,Windows,5.29,969.99,1920.0,1080.0,157.3505121487356,0,0,Intel Core i5,Intel 
HP,17.3,16,512,Windows,6.54,649.99,1920.0,1080.0,127.33567457123111,0,0,Intel Core i3,Intel 
Dell,14.0,8,256,Windows,3.79,699.0,1920.0,1080.0,157.3505121487356,0,1,Intel Core i5,Intel 
HP,13.0,8,1024,Windows,5.41,899.0,1920.0,1080.0,169.45439769863833,0,1,Intel Core i7,Intel 
Lenovo,14.0,8,256,Windows,3,1337.63,1920.0,1080.0,157.3505121487356,0,1,Intel Core i5,Intel 
HP,15.6,16,4,Windows,5.04,857.0,1920.0,1080.0,141.21199808219862,1,0,AMD Processor,NVIDIA
Toshiba,15.6,12,1024,Windows,4.85,699.99,1366.0,768.0,100.45466986113651,0,0,Intel Core i7,Intel 
Dell,15.6,16,1024,Windows,7.07,699.99,1920.0,1080.0,141.21199808219862,1,0,Intel Core i7,NVIDIA
HP,14.0,4,64,Windows,3.17,289.0,1366.0,768.0,111.93520355955211,0,0,Celeron Processor,Intel 
HP,11.0,4,512,Chrome OS,4.09,149.97,1366.0,768.0,142.46298634852087,0,0,Intel Core i7,Intel 
HP,15.6,8,256,Windows,5.54,699.99,1366.0,768.0,100.45466986113651,0,0,Intel Core i5,Intel 
ASUS,11.6,4,32,Chrome OS,2.6,699.99,1366.0,768.0,135.0942111925629,0,0,Celeron Processor,Intel 
Lenovo,14.1,4,128,Windows,8,209.0,1920.0,1080.0,156.23455106966654,0,0,Intel Core i7,Intel 
Toughbook,13.1,16,256,Windows,10.43,1499.99,1024.0,768.0,97.70992366412214,0,0,Intel Core i5,Intel 
Dell,14.0,8,512,Windows,3.3,753.77,1920.0,1080.0,157.3505121487356,0,0,Intel Core i7,Intel 
Acer,11.6,4,512,Chrome OS,2.87,332.04,1366.0,768.0,135.0942111925629,0,1,Celeron Processor,Intel 
HP,15.6,20,1024,Windows,8,699.99,1920.0,1080.0,141.21199808219862,1,0,Intel Core i5,NVIDIA
Dell,15.6,64,2000,Windows,8,2199.0,1920.0,1080.0,141.21199808219862,0,0,Intel Core i9,NVIDIA
