Company,Name,Inches,Screen_Resolution,CPU,RAM,Memory,GPU,OpSys,Weights,Price
Lenovo,"2022 Lenovo IdeaPad 5i Laptop 15.6"" FHD IPS Touchscreen 12th Intel i7-1255U 10-Core Iris Xe Graphics 16GB DDR4 512GB SSD WiFi 6 Fingerprint Sensor Backlit Keyboard Windows 11 Pro w/ RATZK 32GB USB",15.6 Inches,‎1920 x 1080 Pixels,Core i7 Family,16 GB,512 GB,‎Intel Iris Xe Graphics,‎Windows 11 Pro,‎7 pounds,
Acer,"Acer Nitro 5 AN515-58-7583, Intel i7-12700H, NVIDIA GeForce RTX 3070 Ti, 15.6' QHD 165Hz IPS, 16GB DDR4, 2TB SSD in RAID 0, Killer WiFi 6 Nitro, fits 15.6' Laptop-",15.6 Inches,,,16 GB,2 TB,,,,"$2,093.89 "
HP,"HP Spectre x360 2-in-1 15.6"" 4K Ultra HD TouchScreen Laptop (8th Gen Intel Ice Lake i7-8550U 16GB Ram 512GB SSD NVIDIA MX150 Thunderbolt Win 10 Dark Ash Silver)",15.6 Inches,‎3840x2160,Core i7,16 GB,512 GB,‎NVIDIA GeForce MX150,‎Windows 10,‎4.41 pounds,"From $1,999.00"
ASUS,"2022 ASUS Vivobook Laptop | 17.3"" HD+ Display | Intel 10th Gen 4-Core i5-1035G1 | Intel UHD Graphics | 16GB RAM DDR4 256GB M.2 NVMe SSD 1TB HDD | WiFi | BT | HDMI | USB-C | Webcam | Windows 10 Home",17.3 Inches,‎1440 x 900 Pixels,Core i5 Family,16 GB,256 GB,‎Intel UHD Graphics,‎Windows 10 Home,‎3.75 pounds,
Dell,"Dell Precision 5560 15.6"" 11th Gen Core i7-11850(8-Core) 512GB PCIe SSD 32GB RAM 4K UHD (3840x2160) IPS Touch NVidia T1200 4GB Win 11 PRO (Renewed)",15 Inches,‎3840 x 2160 Pixels,Intel Core i7,32 GB,‎SSD,,‎Windows 11 Pro,‎6.69 pounds,
Lenovo,"Lenovo ThinkPad P15s Gen 2 20W600EJUS 15.6"" Touchscreen Mobile Workstation - Full HD - 1920 x 1080 - Intel Core i7 11th Gen i7-1165G7 Quad-core (4 Core) 2.80 GHz - 16 GB RAM - 512 GB SSD - Intel",15.6 Inches,‎1920 x 1080 Pixels,Core i7,16 GB,512 GB,,‎Windows 10 Pro,,
SAMSUNG,"SAMSUNG Electronics Chromebook 4 (2021 Model Without SD Slot) 11.6"" Intel UHD Graphics 600, Celeron Processor N4020, 4GB, 32GB, Wi-Fi - Platinum Titan (XE310XBA-KC1US)",11.6 Inches,‎1366 x 768 Pixels,Celeron N3450,4 GB,32 GB,‎Intel UHD Graphics 600,‎Chrome OS,‎2.6 pounds,$176.59 
HP,"Newest HP Envy 17t Touch(10th Gen Intel i7-1065G7, 16GB DDR4, NVIDIA GeForce 4GB GDDR5, Windows 10 Professional, 3 Years McAfee Internet Security Key, HP Warranty) Bang & Olufsen 17.3"" Laptop",17.3 Inches,‎1920 x 1080,Core i7,16 GB,512 GB,‎NVIDIA GeForce,‎Windows 10 Pro,‎6.02 pounds,$899.99 
HP,"HP Envy 17-inch Laptop, Intel Core i7-8550U Processor, NVIDIA GeForce MX150 4 GB, 12 GB RAM, 1 TB Hard Drive, Windows 10 Home (17-ae110nr, Silver)",17.3 Inches,‎1920 x 1080 Pixels,Core i7 8550U,12 GB,1000 GB,‎NVIDIA GeForce MX150,‎Windows 10,‎6 pounds,"From $1,199.66"
Dell,"Dell Precision 7770 Mobile Workstation - 17.3"" FHD AG Display Display - Intel Core i9-12950HX 16-Core (12th Gen) - 1TB SSD - 32GB RAM - NV RTX A3000 (12GB GDDR6) - Win11P",17 Inches,‎1920 x 1080 Pixels,Intel Core i9,32 GB,1 TB,‎NVIDIA RTX A3000 12GB GDDR6,‎Windows 11 Pro,‎6.6 pounds,"From $2,999.00"
Lenovo,"Lenovo Flex 5 15.6-Inch 2-in-1 Laptop, (Intel Core i5-8250U 8GB DDR4 256GB PCIe SSD Windows 10) 81CA0008US",15.6 Inches,‎1920x1080 Pixels,Core i5,8 GB,256 GB,‎Intel HD Graphics 620,‎Windows 10,‎4.4 pounds,$739.00 
HP,"HP Pavilion 17.3"" Laptop Intel Celeron N4120 4GB RAM 256GB SSD Pale Rose Gold - Intel Celeron N4120 Quad-core (4 Core) - 256 GB SSD - Windows 11 Home in S Mode - Intel UHD Graphics 600-8 Hours",17.3 Inches,‎1600 x 900,Celeron,4 GB,256 GB,‎Intel Celeron,‎Windows 11 Home,‎6.2 pounds,$445.14 
HP,"HP 2022 Pavilion X360 14"" FHD IPS Touch 2-in-1 Laptop PC Intel EVO Platform 10-Core i5-1235U Iris Xe Graphics 8GB DDR4 1TB SSD WiFi 6E Backlit KB Fingerprint HDMI USB-C Windows 11 Home w/ RE USB",14 Inches,‎1920 x 1080 Pixels,Core i5 Family,8 GB,1 TB,‎Intel Iris Xe Graphics,‎Windows 11 Home,‎7 pounds,
HP,"HP 14"" HD Chromebook, Intel Celeron Processor Up to 2.52GHz, 2GB RAM, 16GB SSD, Super-Fast WiFi, Chrome OS (Dale Silver) (Renewed)",14 Inches,,,‎2 GB,,‎Intel Celeron,,‎4.85 pounds,$89.99 
