Company,Name,Inches,Screen_Resolution,CPU,RAM,Memory,GPU,OpSys,Weights,Price
MSI,"MSI Modern 15 Laptop Intel Core i7 12th Gen 1255U (1.70GHz) 16GB Memory 512 GB NVMe SSD Intel Iris Xe Graphics 15.6"" Windows 11 Home 64-bit Modern 15 B12M-013","15.6""",1920 x 1080,Intel Core i7 12th Gen,16GB,512 GB NVMe,Intel Iris Xe Graphics,Windows 11 Home 64-bit,3.85 lbs.,$899.00 
ASUS,"2023 ASUS Vivobook 15 OLED Laptop, 15.6"" FHD OLED Display, AMD Ryzen 7 7730U CPU, AMD Radeon GPU, 16GB RAM, 1TB SSD, Windows 11 Home, Indie Black, M1505YA-ES74","15.6""",1920 x 1080,AMD Ryzen 7 7000 Series,16GB,1 TB PCIe,AMD Radeon Graphics,Windows 11 Home 64-bit,3.75 lbs.,$849.99 
Acer,"Acer Aspire 5 Laptop AMD Ryzen 5 5000 Series 5625U (2.30GHz) 8GB Memory 512 GB NVMe SSD AMD Radeon Graphics 15.6"" Windows 11 Home 64-bit A515-47-R3Y6","15.6""",1920 x 1080,AMD Ryzen 5 5000 Series,8GB,512 GB NVMe,AMD Radeon Graphics,Windows 11 Home 64-bit,3.90 lbs.,$649.99 
Lenovo,"Lenovo IdeaPad Flex 5 16"" 2-in-1 Touchscreen Laptop - Intel Core i7 12th Gen 1255U 16GB RAM 512GB SSD Windows 11 Home, Lenovo Premium Care, 82R80002US","16""",2560 x 1600,Intel Core i7 12th Gen,16GB,512 GB PCIe,Intel Iris Xe Graphics,Windows 11 Home 64-bit,4.63 lbs.,$799.99 
ASUS,"ASUS Laptop VivoBook Pro AMD Ryzen 7 6000 Series 6800H (3.20GHz) 16 GB LPDDR5 Memory 1 TB PCIe SSD NVIDIA GeForce RTX 3050 Ti Laptop GPU 16.0"" Windows 11 Home 64-bit M7600RE-NB74","16.0""",3840 x 2400,AMD Ryzen 7 6000 Series,16 GB LPDDR5,1 TB PCIe,NVIDIA GeForce RTX 3050 Ti Laptop GPU,Windows 11 Home 64-bit,4.41 lbs.,"$1,099.99 "
ASUS,"ASUS Laptop Zenbook Pro Duo Intel Core i7 10th Gen 10870H (2.20 GHz) 16 GB Memory 1 TB PCIe SSD NVIDIA GeForce RTX 3070 Laptop GPU 15.6"" 4K/UHD Touchscreen Windows 10 Pro 64-bit UX582LR-XS74T","15.6"" 4K / UHD",3840 x 2160,Intel Core i7 10th Gen,16GB,1 TB PCIe,NVIDIA GeForce RTX 3070 Laptop GPU,Windows 10 Pro 64-bit,5.16 lbs.,"$1,499.99 "
Acer,"Acer Laptop Aspire 5 Intel Core i5 13th Gen 1335U (1.30GHz) 8 GB LPDDR5 Memory 512 GB PCIe SSD Intel Iris Xe Graphics 17.3"" Windows 11 Home 64-bit A517-58M-59S6","17.3""",1920 x 1080,Intel Core i5 13th Gen,8 GB LPDDR5,512 GB PCIe,Intel Iris Xe Graphics,Windows 11 Home 64-bit,4.61 lbs.,$699.99 
MSI,"MSI Creator Z16 Laptop Fujiwara Hiroshi Limited Edition Intel Core i7 11th Gen 11800H (2.30GHz) 16GB Memory 1 TB NVMe SSD NVIDIA GeForce RTX 3060 Laptop GPU 16.0"" Windows 10 Pro 64-bit A11UE-226","16.0""",2560 x 1600,Intel Core i7 11th Gen,16GB,1 TB NVMe,NVIDIA GeForce RTX 3060 Laptop GPU,Windows 10 Pro 64-bit,4.84 lbs.,"$2,449.99 "
Lenovo,"Lenovo IdeaPad 5 15IAL7 15.6"" Notebook - Full HD - 1920 x 1080 - Intel Core i7 12th Gen i7-1255U Deca-core (10 Core) 1.70 GHz - 12 GB Total RAM - 12 GB On-board Memory - 512 GB SSD - A, 82SF000AUS","15.6""",1920 x 1080,Intel Core i7 12th Gen,12GB,512 GB,Intel Iris Xe Graphics,,4.81 Pounds,$620.99 
Acer,"Acer Swift X Laptop Intel Core i7 12th Gen 1260P (2.10GHz) 16GB LPDDR5 1 TB SSD NVIDIA GeForce RTX 3050 Ti Laptop GPU 14.0"" Windows 11 Home SFX14-51G-7003","14.0""",2240 x 1400,Intel Core i7 12th Gen,16GB LPDDR5,1 TB,NVIDIA GeForce RTX 3050 Ti Laptop GPU,Windows 11 Home,5.34 lbs,"$1,099.99 "
Acer,"Acer Swift X Creator Laptop | 14"" Full HD 100% sRGB | AMD Ryzen 5 5600U | NVIDIA RTX 3050 Laptop GPU | 8GB LPDDR4X | 512GB NVMe SSD | Wi-Fi 6 | Backlit Keyboard | Windows 11 Home SFX14-41G-R7YT","14.0""",,AMD Ryzen 5 5000 Series,8GB,512 GB,NVIDIA GeForce RTX 3050 Laptop GPU,Windows 11 Home,3.06 lbs,$799.99 
MSI,"MSI PRESTIGE 14 EVO 14"" FHD+ Ultra Thin and Light Professional Laptop Intel® Core™ i7-13700H Iris Xe 32GB LPDDR5 1TB NVMe SSD Win 11 Pro, B13M-269US","14.0""",1920 x 1200,Intel Core i7 13th Gen,32GB,1 TB NVMe,Intel Iris Xe Graphics,Windows 11 Pro 64-bit,3.53 lbs.,"$1,499.00 "
,"Samsung - Galaxy Book2 Pro 15.6"" AMOLED Laptop - Intel Core i7 - 32GB Memory - Intel Arc A350M Graphics - 1TB SSD - Graphite NP950XEE-XA1US Notebook","15.6""",,,,,,,,"$1,899.99 "
Lenovo,"Lenovo IdeaPad 3 15IAU7 Laptop Intel Core i3 12th Gen 1215U (1.20GHz) 8GB Memory 256 GB PCIe SSD Intel UHD Graphics 15.6"" Windows 11 in S mode 82RK001AUS","15.6""",1920 x 1080,Intel Core i3 12th Gen,8GB,256 GB PCIe,Intel UHD Graphics,Windows 11 in S mode,3.59 lbs.,$599.99 
MSI,"MSI Laptop Creator Z16 Intel Core i7 11th Gen 11800H (2.30GHz) 16GB Memory 512 GB NVMe SSD NVIDIA GeForce RTX 3060 Laptop GPU 16.0"" Touchscreen Windows 10 Pro 64-bit Creator Z16 A11UET-046","16.0""",2560 x 1600,Intel Core i7 11th Gen,16GB,512 GB NVMe,NVIDIA GeForce RTX 3060 Laptop GPU,Windows 10 Pro 64-bit (Free upgrade to Win 11),5.07 lbs.,"$1,399.00 "
MSI,"MSI SUMMIT E14FLIP EVO 14.0"" QHD+ Touch Ultra Thin 2-in-1 Professional Laptop Intel® Core™ i7-1360P Iris Xe 32GB LPDDR5 1TB NVMe SSD Win 11 Pro with MSI Pen, A13MT-268US","14""",2880 x 1800,Intel Core i7 13th Gen,32GB,1 TB NVMe,Intel Iris Xe Graphics,Windows 11 Pro 64-bit,3.51 lbs.,"$1,699.00 "
ASUS,"ASUS Zenbook 14 Laptop, 14"" WQXGA Display, Intel Core i7-1360P CPU, Intel Iris Xe Graphics, 16GB RAM, 1TB PCIe SSD, Windows 11 Home, Ponder Blue, UX3402VA-DS74","14.0""",2560 x 1600,Intel Core i7 13th Gen,16GB,1 TB PCIe,Intel Iris Xe Graphics,Windows 11 Home 64-bit,2.98 lbs.,"$1,099.99 "
,"Lenovo LOQ Gaming Laptop, NVIDIA GeForce RTX 4060, Intel 13th Gen i7-13700H, 15.6"" FHD 144Hz Display, 32GB DDR5 RAM, 1TB PCIe SSD, Webcam, HDMI, RJ45, Backlit KB, Wi-Fi 6, Windows 11 Home, Grey","15.6""",1920 x 1080,Intel Core i7 13th Gen,32GB,1 TB PCIe,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 11 Home,,"$1,699.99 –"
,"HP Newest EliteBook 840 G8 Business Laptop, 14"" FHD Screen, 11th Gen Intel Core i7-1165G7 EVO, 16GB RAM, 1TB PCIe SSD, Webcam, Backlit Keyboard, FP Reader, HDMI, Wi-Fi 6, Windows 11 Pro, Silver","14.0""",1920 x 1080,Intel Core i7 11th Gen,16GB,1 TB PCIe,Intel Iris Xe Graphics,Windows 11 Pro,,"$1,059.00 "
,"HP 17z Laptop, 17.3"" HD+ Screen, AMD Athlon Gold 3150U Processor, 32GB RAM, 1TB PCIe SSD, Webcam, HDMI, Type-C, Wi-Fi, Windows 11 Home, Silver","17.3""",,AMD Athlon Gold,32GB,1 TB PCIe,AMD Radeon Vega 3,Windows 11 Home,,$599.00 
MSI,"MSI Modern 14 14"" Ultra Thin and Light Professional Laptop Intel® Core™ i5-1155G7 Iris Xe 16GB 512GB NVMe SSD Win 11 Home, C11M-068US","14.0""",1920 x 1080,Intel Core i5 11th Gen,16GB,512 GB PCIe,Intel Iris Xe Graphics,Windows 11 Home 64-bit,3.75 lbs.,$529.00 
,"HP 14'' Full HD Screen Laptop, AMD Ryzen 3 3250U Processor, 32GB DDR4 RAM, 1TB SSD, USB Type-C, Wi-Fi, HD Webcam, HDMI, Windows 11 Home, Silver","14.0""",,AMD Ryzen 3,32GB,1 TB PCIe,AMD Radeon Vega 3,Windows 11 Home,,$499.00 
